epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2554.72,0.72342,0.66146,1.15495,0.77363,0.77659,0.78339,0.65288,0.63568,0.61191,1.08018,0.00104231,0.00104231,0.00104231
43,2600.1,0.71885,0.66915,1.14885,0.79871,0.75481,0.79474,0.6642,0.6369,0.58344,1.08081,0.00103288,0.00103288,0.00103288
44,2645.73,0.73378,0.66663,1.15388,0.76258,0.76977,0.78947,0.66078,0.63343,0.61493,1.08052,0.00102345,0.00102345,0.00102345
45,2691.34,0.72141,0.64145,1.15004,0.80458,0.78281,0.79288,0.66336,0.63811,0.57638,1.07511,0.00101402,0.00101402,0.00101402
46,2737.65,0.7082,0.63331,1.13815,0.7874,0.76432,0.78404,0.66284,0.61654,0.57923,1.07415,0.00100459,0.00100459,0.00100459
47,2784.36,0.71081,0.64416,1.14685,0.80488,0.76921,0.793,0.66759,0.61437,0.57404,1.06264,0.000995156,0.000995156,0.000995156
48,2830.23,0.73058,0.64323,1.15252,0.77847,0.7716,0.78426,0.65923,0.6199,0.5889,1.0672,0.000985724,0.000985724,0.000985724
49,2875.58,0.70848,0.62837,1.14122,0.75931,0.77354,0.77819,0.64656,0.64532,0.62741,1.09359,0.000976293,0.000976293,0.000976293
50,2921.34,0.70661,0.62602,1.14148,0.78101,0.78692,0.78978,0.66159,0.63651,0.56919,1.08527,0.000966861,0.000966861,0.000966861
51,2967.26,0.71435,0.63005,1.14016,0.79651,0.77182,0.79218,0.66599,0.62072,0.56691,1.06957,0.00095743,0.00095743,0.00095743
52,3012.93,0.69714,0.60073,1.12747,0.79086,0.78493,0.79317,0.66337,0.61745,0.58774,1.06348,0.000947999,0.000947999,0.000947999
53,3058.56,0.70413,0.612,1.13454,0.80961,0.76216,0.7921,0.66628,0.61279,0.55986,1.05238,0.000938567,0.000938567,0.000938567
54,3103.89,0.69189,0.60894,1.12513,0.77642,0.78945,0.78718,0.66218,0.61342,0.58105,1.05732,0.000929136,0.000929136,0.000929136
55,3149.39,0.68461,0.59544,1.11561,0.80173,0.78652,0.79588,0.66708,0.61873,0.55363,1.07592,0.000919704,0.000919704,0.000919704
56,3195.19,0.679,0.59976,1.12245,0.80337,0.78254,0.80004,0.67376,0.61228,0.56308,1.06036,0.000910273,0.000910273,0.000910273
57,3241.62,0.69124,0.59969,1.12661,0.78303,0.78555,0.79615,0.66874,0.60718,0.54089,1.05715,0.000900842,0.000900842,0.000900842
