epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,157.374,0.83976,1.32393,1.26323,0.81213,0.81027,0.86016,0.6943,0.78177,0.82098,1.239,0.00998319,0.00332773,0.00998319,0.00332773,0.00998319,0.00332773,0.00998319,0.00332773
2,297.009,0.87021,0.97817,1.25639,0.81779,0.70354,0.78099,0.60249,1.02358,1.03821,1.4684,0.0198513,0.0066171,0.0198513,0.0066171,0.0198513,0.0066171,0.0198513,0.0066171
3,427.72,1.01297,1.18338,1.35786,0.6867,0.54037,0.6133,0.43305,1.35663,1.52448,1.84638,0.0295874,0.00986247,0.0295874,0.00986247,0.0295874,0.00986247,0.0295874,0.00986247
4,556.14,1.07408,1.28644,1.40202,0.69895,0.59432,0.66582,0.48527,1.12775,1.4777,1.6117,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,679.668,1.00492,1.16492,1.35211,0.79151,0.72057,0.7794,0.60589,0.92199,1.05656,1.33393,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,799.797,0.95946,1.07167,1.3174,0.77197,0.80773,0.82764,0.64961,0.84177,0.87393,1.26537,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,920.009,0.93409,1.01858,1.29409,0.82173,0.7923,0.84653,0.67021,0.85485,0.84551,1.28958,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,1039.76,0.88894,0.93704,1.26282,0.85603,0.79386,0.86174,0.70456,0.79465,0.79156,1.22671,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,1189.6,0.87581,0.91265,1.24933,0.87841,0.81218,0.87541,0.70268,0.80458,0.72359,1.24136,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,1320.2,0.85074,0.86893,1.24028,0.88224,0.8523,0.89418,0.72763,0.75674,0.65409,1.18431,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,1468.6,0.83322,0.84019,1.22323,0.90163,0.8467,0.9067,0.7461,0.74189,0.62421,1.18133,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,1618.58,0.81731,0.83471,1.21892,0.90342,0.86095,0.91142,0.75402,0.7073,0.61289,1.14858,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,1771.39,0.80658,0.79479,1.20595,0.89965,0.86284,0.91526,0.76633,0.69548,0.5796,1.13778,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,1930.14,0.79161,0.76873,1.19602,0.90964,0.86965,0.91814,0.77536,0.65724,0.54445,1.10516,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,2056.32,0.77818,0.76074,1.18671,0.903,0.87563,0.91982,0.7794,0.65943,0.54556,1.0969,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,2184.69,0.76876,0.73486,1.18437,0.91971,0.87162,0.91698,0.7888,0.63134,0.53095,1.0791,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,2313.7,0.76557,0.71946,1.1839,0.90389,0.87416,0.92142,0.7775,0.64266,0.5466,1.09172,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,2444.27,0.75174,0.71611,1.17258,0.90119,0.88346,0.9245,0.78164,0.66532,0.52072,1.12441,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,2598.98,0.73464,0.70096,1.16213,0.90884,0.88014,0.9212,0.79009,0.61996,0.53065,1.06862,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,2753.84,0.72973,0.69032,1.15365,0.92017,0.89754,0.9306,0.7943,0.62258,0.49167,1.07387,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,2909.21,0.72449,0.66796,1.15729,0.91956,0.89069,0.93386,0.80069,0.6064,0.47973,1.06111,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,3062.69,0.71769,0.6633,1.14928,0.93306,0.87474,0.93533,0.81291,0.58995,0.47925,1.0424,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,3208.02,0.71386,0.64845,1.14951,0.92282,0.89351,0.93048,0.80301,0.59643,0.47053,1.04504,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,3351.43,0.69748,0.64056,1.13305,0.92486,0.88511,0.93443,0.81545,0.58355,0.45794,1.03535,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,3480.25,0.70075,0.63122,1.13333,0.92545,0.90335,0.93781,0.81853,0.56943,0.43469,1.02092,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,3607.45,0.7022,0.62586,1.1331,0.93123,0.9015,0.94216,0.82047,0.58109,0.43558,1.02733,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,3758.96,0.69438,0.62805,1.13609,0.93144,0.89422,0.93738,0.81411,0.58065,0.44202,1.0344,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,3914.86,0.68887,0.61376,1.12631,0.93806,0.89483,0.94074,0.82441,0.55457,0.44568,1.01109,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,4070.67,0.68303,0.60904,1.12425,0.94171,0.90348,0.93997,0.83027,0.54645,0.42698,1.00084,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,4221.14,0.67896,0.59827,1.12182,0.9254,0.88662,0.93417,0.82071,0.56055,0.46727,1.01843,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
