epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,110.666,0.90342,1.37248,1.31218,0.83051,0.84403,0.86854,0.72886,0.65942,0.73491,1.11672,0.00997877,0.00332626,0.00997877,0.00332626,0.00997877,0.00332626,0.00997877,0.00332626
2,209.718,0.89527,0.99069,1.28487,0.82699,0.77891,0.85888,0.67469,0.84892,0.88916,1.2802,0.0198469,0.00661564,0.0198469,0.00661564,0.0198469,0.00661564,0.0198469,0.00661564
3,306.16,1.00534,1.1369,1.36734,0.75561,0.65504,0.72498,0.51441,1.14954,1.32326,1.57067,0.029583,0.00986102,0.029583,0.00986102,0.029583,0.00986102,0.029583,0.00986102
4,406.213,1.08085,1.24899,1.42185,0.78206,0.67818,0.75607,0.57135,0.99835,1.19863,1.44084,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,506.119,1.02846,1.15351,1.38075,0.74658,0.69359,0.75229,0.57722,1.02044,1.15343,1.48226,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,606.575,0.98249,1.08045,1.35178,0.83325,0.80072,0.85059,0.66772,0.88076,0.86512,1.31779,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,707.493,0.94994,1.01878,1.32406,0.84864,0.78484,0.86166,0.69382,0.81637,0.84439,1.26596,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,807.976,0.92262,0.97061,1.30953,0.87311,0.83104,0.8877,0.7228,0.73097,0.74739,1.18544,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,907.793,0.88983,0.92352,1.28358,0.89599,0.84103,0.90269,0.75682,0.66718,0.66468,1.1246,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,1007.14,0.88355,0.89323,1.27437,0.87106,0.85654,0.90171,0.75501,0.68544,0.66209,1.1314,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,1106.68,0.85323,0.8659,1.25314,0.89269,0.83136,0.8949,0.75448,0.65217,0.65552,1.11103,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,1206.27,0.84203,0.84806,1.24926,0.90419,0.87675,0.92031,0.77556,0.62953,0.58211,1.09608,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,1305.94,0.8278,0.83123,1.24347,0.91653,0.86257,0.91946,0.78125,0.63176,0.57604,1.08385,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
