epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.82165,1.34446,2.87688,1.48712,0.07904,0.02861,0.03519,0.0136,1.56182,3.08642,1.67741,0.000544553,0.000544553,0.000544553
2,14.254,1.47569,2.53671,1.57906,0.06064,0.12114,0.03439,0.01396,2.08498,3.46288,2.15602,0.00108933,0.00108933,0.00108933
3,20.5129,1.56206,2.59474,1.64684,0.09571,0.15978,0.03626,0.01337,2.27084,5.40813,2.47513,0.0016231,0.0016231,0.0016231
4,26.6914,1.57134,2.54288,1.66543,0.08199,0.22839,0.05224,0.02216,1.93148,3.6441,2.1988,0.00161749,0.00161749,0.00161749
5,32.7996,1.55232,2.46666,1.66445,0.11567,0.13945,0.0633,0.02585,2.01779,3.17275,2.21753,0.00160099,0.00160099,0.00160099
6,38.9436,1.52929,2.43891,1.63961,0.14304,0.1839,0.07153,0.02472,2.11884,3.14365,2.29909,0.00158448,0.00158448,0.00158448
7,44.9962,1.54397,2.40757,1.66542,0.18434,0.20595,0.11182,0.04772,1.84516,2.88354,1.98859,0.00156798,0.00156798,0.00156798
8,51.1198,1.52545,2.4295,1.65761,0.11113,0.19383,0.09486,0.03932,1.81939,2.98639,1.98999,0.00155148,0.00155148,0.00155148
9,57.302,1.49253,2.3601,1.62315,0.12329,0.20047,0.07896,0.0316,1.9414,3.04189,2.00613,0.00153497,0.00153497,0.00153497
10,63.3794,1.46098,2.35815,1.62175,0.1465,0.21359,0.10756,0.04771,1.85387,2.83908,1.93936,0.00151847,0.00151847,0.00151847
11,69.4702,1.44105,2.28762,1.58173,0.14167,0.20059,0.1055,0.05528,1.75034,2.73132,1.90501,0.00150197,0.00150197,0.00150197
12,75.577,1.45429,2.29057,1.59416,0.1675,0.20579,0.11086,0.05088,1.76244,2.71251,1.90536,0.00148546,0.00148546,0.00148546
13,81.6528,1.41403,2.2276,1.5875,0.1417,0.24373,0.11176,0.05323,1.72787,2.72707,1.89499,0.00146896,0.00146896,0.00146896
14,87.7735,1.40436,2.21939,1.56153,0.19708,0.24171,0.11368,0.05422,1.77316,3.07223,1.90813,0.00145246,0.00145246,0.00145246
15,93.8504,1.39976,2.22298,1.55974,0.18117,0.22462,0.1329,0.06604,1.76149,2.79309,1.91652,0.00143595,0.00143595,0.00143595
16,99.9813,1.37955,2.17867,1.54636,0.13621,0.20635,0.08766,0.03732,1.73865,2.83726,1.85898,0.00141945,0.00141945,0.00141945
17,106.065,1.39614,2.18991,1.56998,0.21338,0.23218,0.12498,0.0623,1.68049,2.64717,1.84239,0.00140295,0.00140295,0.00140295
18,112.152,1.37122,2.13878,1.53769,0.18524,0.20202,0.12301,0.07034,1.66629,2.70134,1.83511,0.00138644,0.00138644,0.00138644
19,118.229,1.35047,2.12731,1.52861,0.24112,0.24116,0.16122,0.08799,1.60724,2.67042,1.81193,0.00136994,0.00136994,0.00136994
20,124.301,1.36391,2.1397,1.53548,0.24047,0.21985,0.15292,0.08202,1.69123,2.55259,1.82495,0.00135344,0.00135344,0.00135344
21,130.439,1.32487,2.12122,1.50784,0.19263,0.21062,0.11666,0.05592,1.74267,2.81446,1.85446,0.00133693,0.00133693,0.00133693
22,136.489,1.30826,2.08125,1.51223,0.25133,0.22548,0.16998,0.09007,1.56257,2.4623,1.74834,0.00132043,0.00132043,0.00132043
23,142.492,1.30136,2.05484,1.48053,0.22793,0.23341,0.15789,0.08431,1.62257,2.49469,1.79904,0.00130393,0.00130393,0.00130393
24,148.61,1.30501,2.05555,1.48324,0.22447,0.23942,0.14974,0.08167,1.67364,2.64491,1.8433,0.00128742,0.00128742,0.00128742
25,154.697,1.29874,2.0072,1.47264,0.17643,0.23205,0.123,0.06852,1.60837,2.62263,1.76653,0.00127092,0.00127092,0.00127092
26,160.756,1.324,2.04583,1.50306,0.16552,0.30496,0.12146,0.06117,1.62334,2.69403,1.78867,0.00125442,0.00125442,0.00125442
27,166.792,1.30273,2.04026,1.4937,0.19772,0.22945,0.13033,0.06447,1.68416,2.69217,1.83759,0.00123791,0.00123791,0.00123791
28,172.861,1.2487,2.02319,1.46808,0.19425,0.24989,0.13402,0.06862,1.66304,2.58118,1.83569,0.00122141,0.00122141,0.00122141
29,178.903,1.30562,2.02734,1.48409,0.21757,0.26651,0.14732,0.07899,1.64379,2.57734,1.81071,0.00120491,0.00120491,0.00120491
30,184.959,1.27825,1.97807,1.45165,0.21548,0.238,0.13531,0.07294,1.60969,2.58042,1.82668,0.0011884,0.0011884,0.0011884
31,191.106,1.26159,1.98413,1.4692,0.27657,0.23255,0.16044,0.08422,1.61035,2.56502,1.8107,0.0011719,0.0011719,0.0011719
32,197.2,1.20812,1.95232,1.43384,0.18695,0.25131,0.14087,0.0691,1.6436,2.80274,1.84497,0.0011554,0.0011554,0.0011554
33,203.265,1.24211,1.87932,1.43972,0.18241,0.29442,0.13843,0.0711,1.63308,2.64782,1.7719,0.00113889,0.00113889,0.00113889
34,209.316,1.22398,1.9064,1.44089,0.3126,0.23125,0.15817,0.08788,1.5548,2.60095,1.7354,0.00112239,0.00112239,0.00112239
35,215.389,1.20678,1.86037,1.42041,0.2122,0.23261,0.13484,0.0664,1.55878,2.64897,1.71537,0.00110589,0.00110589,0.00110589
36,221.483,1.2167,1.89423,1.42812,0.23499,0.17526,0.13174,0.07263,1.57781,2.58161,1.75476,0.00108938,0.00108938,0.00108938
37,227.539,1.20904,1.85943,1.41944,0.27595,0.23824,0.16204,0.09347,1.56374,2.51486,1.70961,0.00107288,0.00107288,0.00107288
38,233.615,1.21503,1.87962,1.4199,0.23343,0.21708,0.15082,0.07993,1.62025,2.48692,1.76712,0.00105638,0.00105638,0.00105638
39,239.713,1.18139,1.8041,1.39344,0.23426,0.23806,0.15348,0.08478,1.55136,2.38616,1.7419,0.00103987,0.00103987,0.00103987
40,245.898,1.18555,1.79776,1.39199,0.21929,0.26215,0.14862,0.08221,1.59423,2.60853,1.76482,0.00102337,0.00102337,0.00102337
41,251.949,1.16441,1.83021,1.40015,0.2525,0.22561,0.17498,0.10027,1.50871,2.40826,1.70516,0.00100687,0.00100687,0.00100687
42,258.03,1.19075,1.81454,1.39414,0.22674,0.26628,0.17451,0.09965,1.53153,2.46473,1.70402,0.000990365,0.000990365,0.000990365
43,264.064,1.15885,1.77193,1.39441,0.28101,0.24017,0.18185,0.10241,1.53819,2.40329,1.71948,0.000973861,0.000973861,0.000973861
44,270.136,1.11541,1.74074,1.36044,0.24137,0.25515,0.15645,0.08872,1.58006,2.56158,1.75726,0.000957358,0.000957358,0.000957358
45,276.597,1.15811,1.78149,1.37915,0.21687,0.26531,0.15212,0.07903,1.64421,2.62591,1.78795,0.000940855,0.000940855,0.000940855
46,283.359,1.18027,1.74673,1.3897,0.25265,0.23701,0.15056,0.08246,1.55088,2.60797,1.72727,0.000924352,0.000924352,0.000924352
47,290.172,1.12367,1.71386,1.35933,0.25767,0.24989,0.16675,0.09115,1.63846,2.60029,1.82327,0.000907848,0.000907848,0.000907848
48,296.831,1.16503,1.73441,1.37426,0.26452,0.30043,0.17256,0.09818,1.59626,2.48977,1.78749,0.000891345,0.000891345,0.000891345
49,302.889,1.15269,1.73065,1.3748,0.2229,0.24054,0.15042,0.08451,1.53215,2.53248,1.73174,0.000874842,0.000874842,0.000874842
50,309.044,1.12282,1.66455,1.34194,0.23745,0.25726,0.17115,0.10235,1.51916,2.5669,1.71329,0.000858338,0.000858338,0.000858338
51,315.056,1.13024,1.70624,1.37055,0.22604,0.25131,0.1734,0.10216,1.53653,2.50769,1.72088,0.000841835,0.000841835,0.000841835
52,321.123,1.1119,1.68266,1.35676,0.25981,0.24562,0.1705,0.0987,1.59134,2.59854,1.75975,0.000825332,0.000825332,0.000825332
53,327.162,1.11787,1.64094,1.3506,0.18875,0.23868,0.13783,0.0841,1.55906,2.64041,1.72679,0.000808828,0.000808828,0.000808828
54,333.238,1.09438,1.64788,1.33843,0.19104,0.25323,0.13724,0.08096,1.49595,2.62567,1.69358,0.000792325,0.000792325,0.000792325
55,339.3,1.10344,1.61994,1.31867,0.2241,0.22304,0.15128,0.09058,1.48104,2.70696,1.68474,0.000775822,0.000775822,0.000775822
56,345.343,1.10219,1.62783,1.33772,0.23866,0.2967,0.1532,0.08873,1.55746,2.58383,1.73706,0.000759318,0.000759318,0.000759318
57,351.332,1.08512,1.61647,1.33249,0.18488,0.27813,0.14129,0.07851,1.50735,2.65311,1.70577,0.000742815,0.000742815,0.000742815
58,357.343,1.08596,1.60987,1.32623,0.30485,0.22336,0.15591,0.09008,1.56949,2.61087,1.7699,0.000726312,0.000726312,0.000726312
59,363.376,1.08151,1.64,1.32542,0.22745,0.27752,0.15981,0.09089,1.56379,2.53746,1.74579,0.000709809,0.000709809,0.000709809
60,369.427,1.08726,1.57184,1.31738,0.27161,0.25918,0.1676,0.1024,1.57544,2.72087,1.73927,0.000693305,0.000693305,0.000693305
61,375.478,1.05131,1.54293,1.28983,0.24162,0.28551,0.1557,0.09128,1.55959,2.65904,1.74999,0.000676802,0.000676802,0.000676802
62,381.648,1.06355,1.55147,1.30195,0.19365,0.26785,0.15777,0.09522,1.50734,2.56119,1.69725,0.000660299,0.000660299,0.000660299
63,387.664,1.05272,1.54223,1.29977,0.23603,0.27472,0.17986,0.10374,1.53176,2.55384,1.72473,0.000643795,0.000643795,0.000643795
64,393.716,1.02265,1.50669,1.30037,0.21877,0.24426,0.14495,0.08603,1.48753,2.64169,1.68652,0.000627292,0.000627292,0.000627292
65,399.774,1.0302,1.49566,1.29141,0.24929,0.26915,0.16156,0.09275,1.52481,2.75664,1.71777,0.000610789,0.000610789,0.000610789
66,405.846,1.03175,1.49409,1.27744,0.23642,0.25788,0.15635,0.09135,1.50117,2.51969,1.7022,0.000594286,0.000594286,0.000594286
67,411.86,1.03029,1.50492,1.30591,0.24902,0.23645,0.15022,0.08923,1.53813,2.78014,1.73756,0.000577782,0.000577782,0.000577782
68,417.901,1.00614,1.48657,1.27887,0.23641,0.24137,0.1621,0.09548,1.50445,2.61175,1.70717,0.000561279,0.000561279,0.000561279
69,424.44,1.01835,1.48058,1.28322,0.20569,0.33505,0.16159,0.0959,1.51572,2.61784,1.72274,0.000544776,0.000544776,0.000544776
70,431.213,1.01586,1.45501,1.26946,0.25965,0.28662,0.16004,0.09328,1.53338,2.74777,1.73081,0.000528272,0.000528272,0.000528272
71,437.977,1.0243,1.45453,1.27809,0.19131,0.27986,0.14409,0.07906,1.4996,2.62409,1.7278,0.000511769,0.000511769,0.000511769
72,444.928,1.00715,1.42928,1.26775,0.23256,0.26771,0.15553,0.09558,1.51103,2.62661,1.74357,0.000495266,0.000495266,0.000495266
73,451.583,0.97698,1.38766,1.25315,0.25815,0.25844,0.15901,0.09067,1.47684,2.58989,1.71372,0.000478762,0.000478762,0.000478762
74,458.358,0.97971,1.41844,1.25147,0.25134,0.22307,0.15418,0.08956,1.54493,2.73708,1.76239,0.000462259,0.000462259,0.000462259
75,465.109,0.97357,1.38244,1.26247,0.21686,0.29578,0.15057,0.08903,1.5163,2.64693,1.73672,0.000445756,0.000445756,0.000445756
76,471.737,0.98081,1.3905,1.26159,0.21587,0.3156,0.16194,0.09513,1.61779,2.61046,1.82058,0.000429253,0.000429253,0.000429253
77,478.378,1.00045,1.38465,1.25392,0.20912,0.28184,0.15338,0.09006,1.52733,2.51953,1.73757,0.000412749,0.000412749,0.000412749
78,484.408,0.975,1.33264,1.25504,0.23384,0.28643,0.15862,0.09373,1.51608,2.62776,1.71346,0.000396246,0.000396246,0.000396246
79,490.45,0.96238,1.31871,1.22847,0.24665,0.29169,0.16071,0.0924,1.53191,2.63623,1.72369,0.000379743,0.000379743,0.000379743
80,496.513,0.97092,1.3032,1.23311,0.24982,0.31306,0.17431,0.10332,1.53718,2.65453,1.73101,0.000363239,0.000363239,0.000363239
81,502.572,0.96664,1.31266,1.23417,0.28512,0.26865,0.16591,0.09462,1.52906,2.70061,1.72363,0.000346736,0.000346736,0.000346736
82,508.616,0.95152,1.31566,1.2264,0.23376,0.28996,0.18145,0.10236,1.54525,2.60792,1.74174,0.000330233,0.000330233,0.000330233
83,514.655,0.9425,1.29176,1.2301,0.30821,0.23744,0.16166,0.09365,1.5462,2.66766,1.75174,0.000313729,0.000313729,0.000313729
84,520.716,0.96168,1.29877,1.23543,0.2596,0.26717,0.15652,0.09172,1.50569,2.71458,1.72047,0.000297226,0.000297226,0.000297226
85,526.724,0.93122,1.30445,1.22634,0.29822,0.25317,0.17292,0.1017,1.50167,2.66571,1.73197,0.000280723,0.000280723,0.000280723
86,532.9,0.92517,1.26493,1.21121,0.2357,0.29559,0.16165,0.0975,1.49224,2.68219,1.71908,0.00026422,0.00026422,0.00026422
87,538.939,0.92764,1.27355,1.21723,0.29406,0.23664,0.16086,0.09439,1.51395,2.66662,1.74697,0.000247716,0.000247716,0.000247716
88,544.968,0.90379,1.23048,1.20439,0.2485,0.28079,0.16783,0.09734,1.50138,2.66518,1.72656,0.000231213,0.000231213,0.000231213
89,551.003,0.92159,1.26737,1.19733,0.27285,0.2427,0.16205,0.09683,1.52595,2.67704,1.73995,0.00021471,0.00021471,0.00021471
90,557.048,0.90321,1.2267,1.19629,0.25145,0.28469,0.16758,0.09737,1.51468,2.66031,1.7317,0.000198206,0.000198206,0.000198206
91,570.014,0.95361,1.37835,1.26051,0.24695,0.24673,0.14503,0.08537,1.53993,2.79385,1.74916,0.000181703,0.000181703,0.000181703
92,576.033,0.93795,1.24728,1.24391,0.23911,0.3086,0.15777,0.09088,1.5101,2.5992,1.74135,0.0001652,0.0001652,0.0001652
93,582.044,0.91576,1.18143,1.23105,0.23543,0.27232,0.15388,0.09221,1.52859,2.6522,1.74496,0.000148696,0.000148696,0.000148696
94,588.025,0.9203,1.1311,1.22621,0.28272,0.23354,0.1587,0.09175,1.49962,2.63017,1.7174,0.000132193,0.000132193,0.000132193
95,594.023,0.89531,1.15353,1.21115,0.27212,0.24716,0.16385,0.09347,1.48888,2.6279,1.72453,0.00011569,0.00011569,0.00011569
96,600.063,0.87787,1.11774,1.18838,0.2999,0.23335,0.16218,0.09383,1.48977,2.65918,1.72445,9.91865e-05,9.91865e-05,9.91865e-05
97,606.17,0.8734,1.12363,1.19858,0.34443,0.20183,0.15903,0.09116,1.48949,2.67295,1.72336,8.26832e-05,8.26832e-05,8.26832e-05
98,612.191,0.87572,1.13217,1.18388,0.35369,0.19911,0.15399,0.08964,1.48904,2.70579,1.71889,6.61799e-05,6.61799e-05,6.61799e-05
99,618.21,0.8726,1.0891,1.18668,0.33934,0.1962,0.15599,0.09122,1.48781,2.69893,1.71233,4.96766e-05,4.96766e-05,4.96766e-05
100,624.238,0.89606,1.10639,1.20193,0.33356,0.20883,0.15239,0.08807,1.4885,2.70897,1.71412,3.31733e-05,3.31733e-05,3.31733e-05
