epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.1708,1.18671,1.91078,1.52179,0.3933,0.42588,0.36546,0.19824,1.62308,2.88898,2.3516,0.000470524,0.000470524,0.000470524
2,103.892,1.2769,1.64794,1.60192,0.21571,0.41085,0.20421,0.09592,2.05925,2.85135,2.44368,0.000940608,0.000940608,0.000940608
3,167.449,1.33119,1.6505,1.64474,0.38402,0.29366,0.25301,0.10669,2.15628,3.29572,2.72585,0.0014044,0.0014044,0.0014044
4,224.956,1.3429,1.613,1.63587,0.52484,0.53708,0.52473,0.33224,1.45396,1.91169,1.99269,0.00140071,0.00140071,0.00140071
5,270.048,1.33679,1.65059,1.67054,0.54841,0.57422,0.55269,0.36417,1.3057,2.26301,1.8339,0.00139127,0.00139127,0.00139127
6,307.331,1.27132,1.52918,1.59708,0.56276,0.48968,0.52647,0.2815,1.59285,1.72652,2.24164,0.00138184,0.00138184,0.00138184
7,353.008,1.26613,1.46445,1.57268,0.55236,0.58916,0.58885,0.3897,1.30606,1.65142,1.74833,0.00137241,0.00137241,0.00137241
8,394.329,1.24592,1.43963,1.56552,0.49409,0.4972,0.45182,0.27495,1.35012,2.21204,1.80763,0.00136298,0.00136298,0.00136298
9,425.308,1.22088,1.46041,1.55386,0.42734,0.51136,0.47182,0.29068,1.3966,2.23566,1.86653,0.00135355,0.00135355,0.00135355
10,444.321,1.16438,1.34344,1.50867,0.61729,0.67918,0.68321,0.5006,1.13579,1.3537,1.60169,0.00134412,0.00134412,0.00134412
11,463.613,1.16117,1.2782,1.50498,0.70793,0.57519,0.65978,0.47697,1.19258,1.44568,1.65027,0.00133469,0.00133469,0.00133469
12,482.27,1.18363,1.30819,1.5347,0.66438,0.62894,0.66155,0.45517,1.20907,1.44885,1.65828,0.00132525,0.00132525,0.00132525
13,500.923,1.1309,1.31878,1.49201,0.56539,0.63879,0.63287,0.45382,1.14818,1.78954,1.57155,0.00131582,0.00131582,0.00131582
14,519.504,1.15959,1.28343,1.48679,0.6636,0.6555,0.72366,0.52944,1.06725,1.25468,1.48103,0.00130639,0.00130639,0.00130639
15,538.255,1.11372,1.22709,1.46586,0.6648,0.63442,0.67053,0.47855,1.15831,1.31075,1.61574,0.00129696,0.00129696,0.00129696
