epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.08457,1.34446,2.87688,1.48712,0.07904,0.02861,0.03519,0.0136,1.56182,3.08642,1.67741,0.000544553,0.000544553,0.000544553
2,14.4714,1.47569,2.53671,1.57906,0.06064,0.12114,0.03439,0.01396,2.08498,3.46288,2.15602,0.00108933,0.00108933,0.00108933
3,20.6409,1.56206,2.59474,1.64684,0.09571,0.15978,0.03626,0.01337,2.27084,5.40813,2.47513,0.0016231,0.0016231,0.0016231
4,26.7795,1.57134,2.54288,1.66543,0.08199,0.22839,0.05224,0.02216,1.93148,3.6441,2.1988,0.00161749,0.00161749,0.00161749
5,32.8756,1.55232,2.46666,1.66445,0.11567,0.13945,0.0633,0.02585,2.01779,3.17275,2.21753,0.00160099,0.00160099,0.00160099
6,38.9701,1.52929,2.43891,1.63961,0.14304,0.1839,0.07153,0.02472,2.11884,3.14365,2.29909,0.00158448,0.00158448,0.00158448
7,44.9904,1.54397,2.40757,1.66542,0.18434,0.20595,0.11182,0.04772,1.84516,2.88354,1.98859,0.00156798,0.00156798,0.00156798
8,51.0697,1.52545,2.4295,1.65761,0.11113,0.19383,0.09486,0.03932,1.81939,2.98639,1.98999,0.00155148,0.00155148,0.00155148
9,57.0903,1.49253,2.3601,1.62315,0.12329,0.20047,0.07896,0.0316,1.9414,3.04189,2.00613,0.00153497,0.00153497,0.00153497
10,63.1177,1.46098,2.35815,1.62175,0.1465,0.21359,0.10756,0.04771,1.85387,2.83908,1.93936,0.00151847,0.00151847,0.00151847
11,69.1162,1.44105,2.28762,1.58173,0.14167,0.20059,0.1055,0.05528,1.75034,2.73132,1.90501,0.00150197,0.00150197,0.00150197
12,75.1739,1.45429,2.29057,1.59416,0.1675,0.20579,0.11086,0.05088,1.76244,2.71251,1.90536,0.00148546,0.00148546,0.00148546
13,81.2117,1.41403,2.2276,1.5875,0.1417,0.24373,0.11176,0.05323,1.72787,2.72707,1.89499,0.00146896,0.00146896,0.00146896
14,87.3318,1.40436,2.21939,1.56153,0.19708,0.24171,0.11368,0.05422,1.77316,3.07223,1.90813,0.00145246,0.00145246,0.00145246
15,93.376,1.39976,2.22298,1.55974,0.18117,0.22462,0.1329,0.06604,1.76149,2.79309,1.91652,0.00143595,0.00143595,0.00143595
16,99.5495,1.37955,2.17867,1.54636,0.13621,0.20635,0.08766,0.03732,1.73865,2.83726,1.85898,0.00141945,0.00141945,0.00141945
17,105.7,1.39614,2.18991,1.56998,0.21338,0.23218,0.12498,0.0623,1.68049,2.64717,1.84239,0.00140295,0.00140295,0.00140295
18,111.862,1.37122,2.13878,1.53769,0.18524,0.20202,0.12301,0.07034,1.66629,2.70134,1.83511,0.00138644,0.00138644,0.00138644
19,117.898,1.35047,2.12731,1.52861,0.24112,0.24116,0.16122,0.08799,1.60724,2.67042,1.81193,0.00136994,0.00136994,0.00136994
20,123.963,1.36391,2.1397,1.53548,0.24047,0.21985,0.15292,0.08202,1.69123,2.55259,1.82495,0.00135344,0.00135344,0.00135344
21,129.98,1.32487,2.12122,1.50784,0.19263,0.21062,0.11666,0.05592,1.74267,2.81446,1.85446,0.00133693,0.00133693,0.00133693
22,136.474,1.30826,2.08125,1.51223,0.25133,0.22548,0.16998,0.09007,1.56257,2.4623,1.74834,0.00132043,0.00132043,0.00132043
23,143.701,1.30136,2.05484,1.48053,0.22793,0.23341,0.15789,0.08431,1.62257,2.49469,1.79904,0.00130393,0.00130393,0.00130393
24,151.204,1.30501,2.05555,1.48324,0.22447,0.23942,0.14974,0.08167,1.67364,2.64491,1.8433,0.00128742,0.00128742,0.00128742
25,158.356,1.29874,2.0072,1.47264,0.17643,0.23205,0.123,0.06852,1.60837,2.62263,1.76653,0.00127092,0.00127092,0.00127092
26,165.46,1.324,2.04583,1.50306,0.16552,0.30496,0.12146,0.06117,1.62334,2.69403,1.78867,0.00125442,0.00125442,0.00125442
27,172.637,1.30273,2.04026,1.4937,0.19772,0.22945,0.13033,0.06447,1.68416,2.69217,1.83759,0.00123791,0.00123791,0.00123791
28,180.1,1.2487,2.02319,1.46808,0.19425,0.24989,0.13402,0.06862,1.66304,2.58118,1.83569,0.00122141,0.00122141,0.00122141
29,187.221,1.30562,2.02734,1.48409,0.21757,0.26651,0.14732,0.07899,1.64379,2.57734,1.81071,0.00120491,0.00120491,0.00120491
30,194.326,1.27825,1.97807,1.45165,0.21548,0.238,0.13531,0.07294,1.60969,2.58042,1.82668,0.0011884,0.0011884,0.0011884
31,201.394,1.26159,1.98413,1.4692,0.27657,0.23255,0.16044,0.08422,1.61035,2.56502,1.8107,0.0011719,0.0011719,0.0011719
32,208.591,1.20812,1.95232,1.43384,0.18695,0.25131,0.14087,0.0691,1.6436,2.80274,1.84497,0.0011554,0.0011554,0.0011554
33,215.691,1.24211,1.87932,1.43972,0.18241,0.29442,0.13843,0.0711,1.63308,2.64782,1.7719,0.00113889,0.00113889,0.00113889
34,222.231,1.22398,1.9064,1.44089,0.3126,0.23125,0.15817,0.08788,1.5548,2.60095,1.7354,0.00112239,0.00112239,0.00112239
35,228.952,1.20678,1.86037,1.42041,0.2122,0.23261,0.13484,0.0664,1.55878,2.64897,1.71537,0.00110589,0.00110589,0.00110589
36,236.051,1.2167,1.89423,1.42812,0.23499,0.17526,0.13174,0.07263,1.57781,2.58161,1.75476,0.00108938,0.00108938,0.00108938
37,243.006,1.20904,1.85943,1.41944,0.27595,0.23824,0.16204,0.09347,1.56374,2.51486,1.70961,0.00107288,0.00107288,0.00107288
38,249.928,1.21503,1.87962,1.4199,0.23343,0.21708,0.15082,0.07993,1.62025,2.48692,1.76712,0.00105638,0.00105638,0.00105638
39,256.274,1.18139,1.8041,1.39344,0.23426,0.23806,0.15348,0.08478,1.55136,2.38616,1.7419,0.00103987,0.00103987,0.00103987
40,262.307,1.18555,1.79776,1.39199,0.21929,0.26215,0.14862,0.08221,1.59423,2.60853,1.76482,0.00102337,0.00102337,0.00102337
41,268.284,1.16441,1.83021,1.40015,0.2525,0.22561,0.17498,0.10027,1.50871,2.40826,1.70516,0.00100687,0.00100687,0.00100687
42,274.299,1.19075,1.81454,1.39414,0.22674,0.26628,0.17451,0.09965,1.53153,2.46473,1.70402,0.000990365,0.000990365,0.000990365
43,280.303,1.15885,1.77193,1.39441,0.28101,0.24017,0.18185,0.10241,1.53819,2.40329,1.71948,0.000973861,0.000973861,0.000973861
44,286.371,1.11541,1.74074,1.36044,0.24137,0.25515,0.15645,0.08872,1.58006,2.56158,1.75726,0.000957358,0.000957358,0.000957358
45,292.385,1.15811,1.78149,1.37915,0.21687,0.26531,0.15212,0.07903,1.64421,2.62591,1.78795,0.000940855,0.000940855,0.000940855
46,298.415,1.18027,1.74673,1.3897,0.25265,0.23701,0.15056,0.08246,1.55088,2.60797,1.72727,0.000924352,0.000924352,0.000924352
47,304.411,1.12367,1.71386,1.35933,0.25767,0.24989,0.16675,0.09115,1.63846,2.60029,1.82327,0.000907848,0.000907848,0.000907848
48,310.46,1.16503,1.73441,1.37426,0.26452,0.30043,0.17256,0.09818,1.59626,2.48977,1.78749,0.000891345,0.000891345,0.000891345
49,316.477,1.15269,1.73065,1.3748,0.2229,0.24054,0.15042,0.08451,1.53215,2.53248,1.73174,0.000874842,0.000874842,0.000874842
50,322.521,1.12282,1.66455,1.34194,0.23745,0.25726,0.17115,0.10235,1.51916,2.5669,1.71329,0.000858338,0.000858338,0.000858338
51,328.552,1.13024,1.70624,1.37055,0.22604,0.25131,0.1734,0.10216,1.53653,2.50769,1.72088,0.000841835,0.000841835,0.000841835
52,334.622,1.1119,1.68266,1.35676,0.25981,0.24562,0.1705,0.0987,1.59134,2.59854,1.75975,0.000825332,0.000825332,0.000825332
53,340.627,1.11787,1.64094,1.3506,0.18875,0.23868,0.13783,0.0841,1.55906,2.64041,1.72679,0.000808828,0.000808828,0.000808828
54,346.669,1.09438,1.64788,1.33843,0.19104,0.25323,0.13724,0.08096,1.49595,2.62567,1.69358,0.000792325,0.000792325,0.000792325
55,352.749,1.10344,1.61994,1.31867,0.2241,0.22304,0.15128,0.09058,1.48104,2.70696,1.68474,0.000775822,0.000775822,0.000775822
56,358.781,1.10219,1.62783,1.33772,0.23866,0.2967,0.1532,0.08873,1.55746,2.58383,1.73706,0.000759318,0.000759318,0.000759318
57,364.785,1.08512,1.61647,1.33249,0.18488,0.27813,0.14129,0.07851,1.50735,2.65311,1.70577,0.000742815,0.000742815,0.000742815
58,370.82,1.08596,1.60987,1.32623,0.30485,0.22336,0.15591,0.09008,1.56949,2.61087,1.7699,0.000726312,0.000726312,0.000726312
